,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,songId,title,artist,genres,language
0,0,0,0,0,0,0,0,Pangarap,Barbie's Cradle,rock,Filipino
1,1,1,1,1,1,1,1,I Feel Alive,Steady Rollin,rock,English
2,2,2,2,2,2,2,2,Poison,Bell Biv DeVoe,r&b,English
3,3,3,3,3,3,3,3,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,r&b,English
4,4,4,4,4,4,4,4,Dumb Litty,KARD,pop,English
5,5,5,5,5,5,5,5,Soldier,James TW,r&b,English
6,6,6,6,6,6,6,6,Satisfy You,Diddy,r&b,English
7,7,7,7,7,7,7,7,Tender Lover,Babyface,r&b,English
8,8,8,8,8,8,8,8,Hide Away (feat. Envy Monroe),Blasterjaxx,edm,English
9,9,9,9,9,9,9,9,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,r&b,Italian
10,10,10,10,10,10,10,10,Una Vaina Loca,Fuego,latin,Spanish
11,11,11,11,11,11,11,11,Limestone,Magic City Hippies,pop,English
12,12,12,12,12,12,12,12,La Mordidita,Ricky Martin,latin,Spanish
13,13,13,13,13,13,13,13,Changes,2Pac,rap,English
14,14,14,14,14,14,14,14,Latina (feat. Maluma),Reykon,latin,Spanish
15,15,15,15,15,15,15,15,Let Me Entertain You - Remastered 2011,Queen,rock,English
16,16,16,16,16,16,16,16,Suga Suga,Baby Bash,r&b,English
17,17,17,17,17,17,17,17,You Don't Know Me - Radio Edit,Jax Jones,pop,English
18,18,18,18,18,18,18,18,Secrets,The Weeknd,r&b,English
19,19,19,19,19,19,19,19,Me Enamoré,Jay Wheeler,latin,Spanish
20,20,20,20,20,20,20,20,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,pop,English
21,21,21,21,21,21,21,21,Laps,Zotiyac,rap,English
22,22,22,22,22,22,22,22,Get The Funk Out Ma Face,The Brothers Johnson,r&b,English
23,23,23,23,23,23,23,23,Ooh,SAYMYNAME,rap,English
24,24,24,24,24,24,24,24,La Vida Es Una (feat. Pitbull),Lil Jon,latin,Spanish
25,25,25,25,25,25,25,25,Juke Box Hero,Foreigner,pop,English
26,26,26,26,26,26,26,26,We Own It (Fast & Furious),2 Chainz,rap,English
27,27,27,27,27,27,27,27,Ain't No Future In Yo' Frontin',MC Breed,rap,English
28,28,28,28,28,28,28,28,La rebelion,Joe Arroyo,latin,Spanish
29,29,29,29,29,29,29,29,It's You - Radio Edit,Syn Cole,pop,English
30,30,30,30,30,30,30,30,Bongo Bong,Manu Chao,latin,English
31,31,31,31,31,31,31,31,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,edm,English
32,32,32,32,32,32,32,32,Full Moon,DREAMCATCHER,edm,Estonian
33,33,33,33,33,33,33,33,Hot,Confetti,pop,English
34,34,34,34,34,34,34,34,Bené,PNL,r&b,French
35,35,35,35,35,35,35,35,Shine - Kygo Remix,Benjamin Francis Leftwich,pop,English
36,36,36,36,36,36,36,36,Don't Let It Break Your Heart - Single Edit,Louis Tomlinson,pop,English
37,37,37,37,37,37,37,37,Been A While,Sam Feldt,pop,English
38,38,38,38,38,38,38,38,Santa Claus Is Coming To Town,The Jackson 5,r&b,English
39,39,39,39,39,39,39,39,Dancing On My Own - Tiësto Remix,Calum Scott,edm,English
40,40,40,40,40,40,40,40,Phenomenal,Eminem,rap,English
41,41,41,41,41,41,41,41,Get Get Down - Radio Edit,Merk & Kremont,edm,Polish
42,42,42,42,42,42,42,42,Beautiful Life,Lost Frequencies,latin,English
43,43,43,43,43,43,43,43,Suave,Tabitha,latin,Dutch
44,44,44,44,44,44,44,44,Pegao,Wisin & Yandel,latin,Spanish
45,45,45,45,45,45,45,45,Try,P!nk,latin,English
46,46,46,46,46,46,46,46,Not To Much - Remastered 2016,Don Omar,latin,Spanish
47,47,47,47,47,47,47,47,Funky Friday,Dave,rap,English
48,48,48,48,48,48,48,48,First Love,Lost Kings,pop,English
49,49,49,49,49,49,49,49,Alone,Lund,rap,English
50,50,50,50,50,50,50,50,Now That We're Dead,Metallica,rock,English
51,51,51,51,51,51,51,51,Love Sosa,Chief Keef,rap,English
52,52,52,52,52,52,52,52,Mama Knew Love,Anthony Hamilton,r&b,English
53,53,53,53,53,53,53,53,Generé,Bipo Montana,rap,Spanish
54,54,54,54,54,54,54,54,Girlfriend in a Coma - 2011 Remaster,The Smiths,rock,English
55,55,55,55,55,55,55,55,Did It Again,Lil Tecca,rap,English
56,56,56,56,56,56,56,56,I'll Be All You'll Ever Need,Trinere,latin,English
57,57,57,57,57,57,57,57,Talk Dirty To Me,Poison,rock,English
58,58,58,58,58,58,58,58,Goodbye Love,Guy,r&b,English
59,59,59,59,59,59,59,59,Morph,Twenty One Pilots,pop,English
60,60,60,60,60,60,60,60,50 Vezes - Ao Vivo,Sorriso Maroto,edm,Portuguese
61,61,61,61,61,61,61,61,Harlem Shake,Baauer,rap,English
62,62,62,62,62,62,62,62,Always Gonna Say Sorry,Joakim Molitor,edm,English
63,63,63,63,63,63,63,63,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,rap,Italian
64,64,64,64,64,64,64,64,Rattle Your Cage,Skrizzly Adams,rock,English
65,65,65,65,65,65,65,65,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,latin,English
66,66,66,66,66,66,66,66,Why Don't You Get A Job,The Offspring,rock,English
67,67,67,67,67,67,67,67,On the Back of Your Neck,Cienfue,pop,English
68,68,68,68,68,68,68,68,WhatWasThat,BONES,rap,English
69,69,69,69,69,69,69,69,Heartless (feat. Mustard),Polo G,r&b,English
70,70,70,70,70,70,70,70,Say My Name,Lil Yachty,rap,English
71,71,71,71,71,71,71,71,Paint My Love - 2014 Remastered Version,Michael Learns To Rock,rock,English
72,72,72,72,72,72,72,72,Hi Life,UGK,rap,English
73,73,73,73,73,73,73,73,This Is Our Time,WILD,pop,English
74,74,74,74,74,74,74,74,It Runs Through Me,Tom Misch,pop,English
75,75,75,75,75,75,75,75,Nothing Really Matters - Afrojack Remix,Mr. Probz,edm,English
76,76,76,76,76,76,76,76,Who Are You,The Who,rock,English
77,77,77,77,77,77,77,77,I Want You To Want Me,Cheap Trick,rock,English
78,78,78,78,78,78,78,78,I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival,rock,English
79,79,79,79,79,79,79,79,Without You - Remastered,Harry Nilsson,r&b,English
80,80,80,80,80,80,80,80,Raise Up,Petey Pablo,rap,English
81,81,81,81,81,81,81,81,Compound,Trellion,rap,English
82,82,82,82,82,82,82,82,Get the Party Started,P!nk,pop,English
83,83,83,83,83,83,83,83,Stray Lines,Mishaal,edm,English
84,84,84,84,84,84,84,84,Paloma Negra,Chavela Vargas,r&b,Spanish
85,85,85,85,85,85,85,85,On Fire,Carmada,pop,English
86,86,86,86,86,86,86,86,Tequila,Juanes,latin,Spanish
87,87,87,87,87,87,87,87,Ella Se Fue,Kinto Sol,latin,Spanish
88,88,88,88,88,88,88,88,Who Needs You - Remastered 2011,Queen,rock,English
89,89,89,89,89,89,89,89,7/11,Beyoncé,pop,English
90,90,90,90,90,90,90,90,Getting Away With Murder,Papa Roach,rock,English
91,91,91,91,91,91,91,91,Smile - Years Remix,Galantis,edm,English
